score,text
20,JOINT COMMUNIQUE - 5th KEPSA-KRA Tax Round Table forum
20,"The Kenya Private Sector Alliance (KEPSA) and the Kenya Revenue Authority (KRA) jointly hosted the 5th KEPSA-KRA Tax Round Table forum at the Nairobi Serena Hotel. The conference brought together business leaders and stakeholders’ drawn from the private sector to deliberate on the prevailing tax policy and related concerns. The 5th KEPSA-KRA Tax Round Table forum also provided a platform for KRA to update KEPSA members on developments relating to tax compliance and policy matters.

Specifically, the roundtable forum explored collaborative approaches on how to:"
20,Dutch Flower Firm ordered to pay Ksh.1.3 billion in taxes
20,"Kenya Revenue Authority (KRA) has won a case to collect taxes worth Ksh.1.3 billion from Van Den Berg limited, a Dutch flower firm operating in Kenya.

The firm was ordered to pay KRA after the High Court in Nairobi dismissed a judicial review application filed by the company in April, 2016 seeking to quash a tax assessment issued by the Commissioner of Domestic Taxes."
20,Tax Appeals Tribunal dismisses suit seeking to stay collection of Kshs.181 million tax
20,"PRESS RELEASE 02/10/2020

Did you find this content useful?"
20,KRA foils attempt to smuggle contraband goods at Taveta border
20,"Kenya Revenue Authority (KRA) has smashed a syndicate involving the importation of contraband goods into the Country through the Taveta-Holili One –Stop Border Post (OSBP).

KRA detectives intercepted and seized restricted goods, including ethanol, assorted cosmetics used textiles, used footwear, soap handkerchiefs and used shoes with a total value of Ksh10,693,391, at the border. The detectives also arrested a suspect in connection to part of the consignment. Should those behind the racket have succeeded in their scheme, the government would have lost Ksh6,811,870 million in tax revenue."
20,President Uhuru Kenyatta launches a web based system to curb tax evasion
20,"The Kenya Revenue Authority (KRA) has launched a web-based anonymous reporting solution dubbed iWhistle, at a virtual function graced by President Uhuru Kenyatta, today.

The KRA iWhistle solution will enable the public to anonymously report and provide tax crime leads and its launch was one of the highlights at the annual KRA Taxpayers’ Day Celebrations. The online reporting solution, will be conveniently accessed through the web link https://iwhistle.kra.go.ke."
20,KRA embraces digital platforms and urges taxpayers to file tax returns ahead of deadline
20,"Kenya Revenue Authority (KRA) is promoting the use of digital channels in service delivery at the onset of the final phase of the tax return filing season which closes on 30th June 2021.

January 1 st , 2021 marked the beginning of the tax return filing season for the 2020 year of income. All annual tax returns for the year 2020 for individuals and for entities with a December year end should be submitted online through the iTax platform on or before 30th June 2021. The iTax portal can be accessed through https://itax.kra.go.ke. KRA encourages taxpayers to file their returns early in order to avoid the end of June deadline rush."
20,"Commissioner, Domestic Taxes"
20,KRA SUSTAINS OUTSTANDING REVENUE PERFORMANCE TREND
20,"Kenya Revenue Authority (KRA) has recorded the highest revenue performance rate since the beginning of the Financial Year 2020/2021 after collecting Kshs 144.6 billion in March 2021 surpassing the revenue target. This is an outstanding performance compared to the month of February when KRA collected Kshs 127.7 billion registering a performance rate of 105.1% to surpass its February revenue collection target.

Despite the slow economic progression, KRA registered 11.2% revenue growth collecting a surplus of Kshs 6.6 billion in March 2021. This was the fourth month running that KRA posted an improved and above target performance since December 2020."
20,KRA unearths tax evasion scheme in foreign motor vehicles clearance
20,"The Kenya Revenue Authority (KRA) has unearthed a tax evasion scheme where unscrupulous persons use forged documents to facilitate foreign registered vehicles to operate in Kenya without paying requisite taxes.

KRA investigations established that culprits use a false payment slips to facilitate clearance of foreign registered motor vehicles, thus evading payment of transit road toll fees."
20,"Commissioner, Investigation and Enforcement Department"
20,Dr. Edward Karanja
20,"KRA RECORDS EXCELLENT PERFOMANCE, EXCEEDS TARGET IN FIRST HALF OF FY2021/22"
20,"The Kenya Revenue Authority (KRA) has recorded an above-target revenue performance in the first half of the Financial Year 2021/2022 after collecting KShs. 976.659 billion against a target of KShs. 929.127 billion thanks to higher tax compliance. Patriotic taxpayers keen on facilitating national development allowed KRA to collect a surplus of KShs. 47.532 billion.

KRA also surpassed both its exchequer revenue and overall revenue targets in the last five months. (From August to December). Specifically, KRA surpassed both the overall and exchequer targets in December 2021 by KShs 10.152 Billion and KShs 8.257 Billion respectively."
20,COMMISSIONER GENERAL
20,"Compliance with the VAT (Electronic Tax Invoice) Regulations, 2020"
20,"Kenya Revenue Authority (KRA) would like to remind the public and all VAT registered taxpayers that the deadline of the transition from the old Electronic Tax Registers (ETRs) to the upgraded ETRs is 31st July 2022. The move is aimed at enhancing VAT compliance, minimizing fiscal fraud and increasing tax revenue in accordance with the VAT (Electronic Tax Invoice) Regulations, 2020.

KRA appreciates taxpayers who have complied this far and those who are making efforts to comply."
20,Betting Sector Records 30% Revenue Growth as KRA Interlinks Firms to Tax System
20,"Revenue collection in the betting and gaming sector has registered a significant growth after Kenya Revenue Authority (KRA) collected over KShs 15.100 Billion from Excise on Betting and Withholding Tax on Winnings from the betting sector. The revenue collection reflects a growth of 23.9% from the tax heads, compared to the same period in the financial year 2021/2022.

Excise Duty on Betting registered an exceptional performance of 116.2% after KRA collected KShs 6.640 Billion from the sector. The collection was against a target of KShs 5.715 Billion, which reflects a surplus collection of KShs 925 Million from the tax head. The increase in Excise duty on betting reflects a growth of 30.0% compared to the same period in FY 2021/2022."
20,"Excisable Goods Management System Go Live (Bottled Water, Juices, Energy Drinks, Soda and other Non-Alcoholic Beverages)"
20,"Kenya Revenue Authority informs all licensed manufacturers, importers, distributors, retailers and general public that further to the Public Notice dated 30th August 2019, bottled water, juices, energy drinks, soda and other non-alcoholic beverages manufactured in or imported into Kenya from 13th November, 2019 must be affixed with an Excise Stamp in accordance with Section 28 of Excise Duty Act 2015 and Legal Notice 53 of 30th March, 2017 (Excisable Goods Management System Regulations).

Only licensed manufacturers and licensed importers of Excisable Goods in accordance to Section 15 of the Excise Duty Act 2015 can obtain Excise Stamps. To purchase Excise stamps, visit https://egms.kra.go.ke using the log in details issued after licensing."
20,Automated Verification of VAT Returns (Reminder)
20,"The Kenya Revenue Authority would wish to inform the public that system improvements made to the iTax VAT return verification module following stakeholders’ feedback, have been concluded. The module cross-validates invoice details in buyers’ and sellers’ VAT returns then generates inconsistencies which affected taxpayers are required to resolve within a given period from the date of system notification.

Further, KRA wishes to advise Taxpayers that were affected by the verification of the January 2018 returns to amend their returns within 60 days from the date of this Notice. Input tax relating to inconsistencies which will remain unresolved after the stated period shall be disallowed."
20,Commissioner of Customs & Border Control Department
20,Applications for Renewal of Customs Clearing Agents Licences 2020
20,"PUBLIC NOTICES 11/12/2019

Address"
20,Kenya Revenue Authority Ministry of Devolution and the ASALS
20,"Tax Legislative Changes Contained in Legal Notice No. 35 of 2020 and Business Laws (Amendment) Act, 2020"
20,"Kenya Revenue Authority informs registered taxpayers and the general public about the changes in tax laws contained in Legal Notice No. 35 of 2020 and Business Laws (Amendment) Act, 2020.

VAT ACT, 2013"
20,Filing of 2019 Tax Returns
20,"Kenya Revenue Authority informs taxpayers that the 2019 tax returns are due on 30th June 2020. KRA services at Huduma Centres countrywide have now been opened to support taxpayers.

KRA continues to encourage taxpayers to do online filing on: www.itax.go.ke or call the contact centre on 020 4 999 999 or 0711 099 999 or send an email to callcentre@kra.go.ke."
20,"PUBLIC NOTICES 05/05/2021

Address"
20,Paperless Customs Clearance at the Entry and Exit Points
20,"Kenya Revenue Authority (KRA) wishes to notify all stakeholders that KRA is implementing paperless Customs clearance of cargo at all entry and exit points. Customs will perform paperless examination, approval and release of inbound and outbound goods through the Customs systems. This new process commenced in May 2020.

Reducing paperwork during Customs clearance will facilitate transparency, increased tax compliance, simplification of international trade and reduce time and cost of doing business."
20,"Deputy Commissioner, Marketing & Communication Department"
20,Fraudulent person(s) masquerading as KRA staff
20,"PUBLIC NOTICES 02/02/2022

Address"
20,On Boarding of Rental Properties on eRITS
20,"Kenya Revenue Authority (KRA) wishes to notify the public that it has rolled out an Electronic Rental Income Tax System (eRITS), which will facilitate easier payment of Monthly Rental Income (MRI). The system enables management of properties, filing and payment of rental taxes in a simple and convenient way.

The link to access the system is https://erits.kra.go.ke or the eCitizen public portal. We urge all persons owning rental properties and earning rental income to update/correct their property details as appropriate in the new KRA system."
20,APPLICATION FOR LICENCES FOR TRANSIT GOODS LICENCE (C28) AND VEHICLES CONVEYING OTHER GOODS UNDER CUSTOMS CONTROL (C40)
20,"Kenya Revenue Authority (KRA) wishes to remind all Transporters conveying Transit Goods and other goods under Customs control that their licenses will expire on 31st December, 2023.

Provisions relating to the licensing of vehicles conveying Transit Goods and other goods under Customs control are contained in Regulations 104 & 210 of the East African Community Customs Management Regulation, 2010 & Section 244 of the East African Community Customs Management Act, 2004."
20,Update on Simplification of VAT Return Filing for VAT Registered Taxpayers.
20,"The Kenya Revenue Authority (KRA) notifies all VAT registered Taxpayers that the VAT return will be pre-filled with tax information available to KRA starting from the November 2024 tax period. This is to simplify the VAT return filing process.

All VAT registered Taxpayers are therefore advised to confirm the accuracy of their pre-filled November 2024 VAT returns prior to submission on or before 20th December 2024."
20,Tubonge Tax
20,"In spite of the Covid-19 pandemic, the year this far has seen humanity maneuver the series of misfortunes that have riddled the world. For survival, new ways of doing things have emerged, pegged on getting information as fast as possible with as little physical interaction as possible. Podcasts is one of these new tools of communication that stand out!

Kenya Revenue Authority is not left behind in this mille; we are launching TubongeTax podcast, the authority’s ace in the hole on all matters tax. The Podcast complements other platforms run by KRA like the Facebook and Linkedin social media pages. In fact, this latest addition, strives to position KRA as a thought leader in tax policy and administrative matters through informative discussions."
20,A Tax Compliance Certificate; Why you Need it
20,"Have you ever been in urgent need of a Tax Compliance Certificate (TCC) and wondered which button to press to get it? The good news is that a TCC can now be acquired instantly upon successful application. However, this is only possible if one has filed all the returns and paid any taxes due.

A TCC is a certificate issued by the Commissioner if satisfied that the person has complied with the tax law in respect of filing returns and payment of all the taxes due or has made an arrangement with the Commissioner to pay the taxes due. It is not only an essential document, but also a gateway to several opportunities. Currently, most job offers require one to have a valid TCC upon application. The document is also a requirement when applying for tenders. A TCC is a must have for manufacturers and importers of excisable products, just to mention but a few. Being tax compliant therefore comes with several advantages."
20,The Role and Mandate of Kenya Revenue Authority (KRA)
20,"Recently, I inquired from my neighbours on what they know about Kenya Revenue Authority (KRA). The obvious cross cutting answer was the association of KRA with tax payments.

However, who is KRA, how and why was it formed? What are its role, mandate, mission and vision? This article will seek to enlighten taxpayers on the aforementioned and so much more."
20,Cynthiah Kerubo Oigara
20,The Wings of Willingness
20,"“The quality of our lives depends not on whether or not we have conflicts, but on how we respond to them.” These are words of Thomas Crum, a famous author of conflict resolution. At any given point of dispute; avoiding, defeating, compromising, accommodating, and collaborating are the most commonly used methods in resolving conflicts in day-to day life.

Kenya Revenue Authority (KRA) has been on the forefront in propelling national development through efficient and sustainable revenue administration. In efforts of implementing taxpayer focused model, KRA introduced Alternative Dispute Resolution (ADR) in 2015. The model adopted internal dispute resolution instead of using courts to settle tax disputes between KRA and taxpayers. ADR is free of charge, and a facilitative and confidential process, hence being one of most economical models geared towards arriving at tax agreements in dispute."
20,Potato policy & Climate Smart Agriculture
20,Potato policy & climate smart agriculture
20,"PSA has been supporting the efforts of the Kenyan and Dutch governments in streamlining Kenya’s potato policy framework for many years. Last December PSA hosted visitors from KEPHIS and from the Dutch Ministry of Agriculture. During this meeting we explained our current role in the Kenyan potato value chain. We also shared our view on what is needed to further elevate Kenya’s potato value chain and how a higher share of Kenyan smallholders can benefit from certified seed potatoes.

In addition to sharing views on policy development, we also demonstrated how PSA applies Climate Smart Agricultural (CSA) practices in its daily operations. Elements of which are our drip irrigation infrastructure, our 300 meters deep boreholes and our energy production from solar power needed to pump clean water from these depths. Naturally our Agrico potato varieties are the solid foundation of our CSA practices. A good example is our variety Arizona, with its very high level of heat and nematode resistance."
20,KFC French fries shortage: catalyst for potato traceability system
20,The potato traceability system basically provides a rock solid reporting system from which anyone can see where precisely the potato was grown: each field number relates to a geographical area (registered on a field map). Moreover it also shows when it was planted and when the crop germinated.
20,KRA Intercepts Undeclared Smartphones Worth Over Ksh 16 Million at Eldoret International Airport
20,"The Kenya Revenue Authority (KRA) enforcement teams intercepted an undeclared consignment of 21,600 units of high-end smartphones, with a tax value of Ksh 16,102,137, at the Eldoret International Airport.

The consignment was part of consolidated items that included 5,000 declared units of smartphones worth Ksh 6.4 million, as well as shoes, clothes, auto spare parts, household items, and other electronic accessories. The operation was successful following an intelligence-led report."
20,"Corporation Tax

Corporation Tax grew by 7.2% in H1 with the key banking sector recording growth of 11.1%. Profit performance within the sector was mixed with several Tier 1 banks issuing profit warnings whereas a sizeable proportion of Tier 3 banks recorded losses. Other sectors that recorded improved growth were telecommunication (16.1%); construction (124%); and transport (40.0%). As would be anticipated weakest growth was recorded in the manufacturing sector, while the energy sector performed poorly, a fact mainly attributed to high investment deductions."
20,Customs
20,"KRA, KICD partner to mainstream tax education in Kenyan education curriculum"
20,"The Kenya Revenue Authority (KRA) and the Kenya Institute of Curriculum Development (KICD) have partnered to mainstream tax education in the education curriculum.

A report presented recently to KRA by the KICD revealed that there is a 95 per cent need for incorporation of tax education in the new competency-based curriculum in order to equip learners with requisite tax knowledge and mould them into responsible taxpayers."
20,"KEYNOTE ADDRESS BY THE CABINET SECRETARY/NATIONAL TREASURY, MR. HENRY ROTICH, EGH DURING THE TAXPAYERS MONTH LAUNCH"
20,"Chairman and Board of Directors, Kenya Revenue Authority,

The Commissioner General,KRA"
20,Thank you and God Bless You All.
20,Roll out of excise stamps to non-alcoholic drinks is beneficial to the economy
20,"In 2013, the Kenya Revenue Authority (KRA) rolled out an ambitious project dubbed Excisable Goods Management System (EGMS), with a view to beef up the fight against illicit trade and protect members of the public from unregulated products in the excisable goods sector.

Implementation of EGMS was also a pivotal tool in sealing the then existing perforations on the revenue pipeline which denied the government its fair share of revenue from excisable goods."
20,Kenya takes leadership of Sub-Saharan Africa skills network
20,KenGen unveils ambitious 10-year plan to accelerate Kenya’s transition to green energy
20,Authority grafts one million mango seedlings annually to boost West Pokot’s economy
20,State rolls out Last-Mile Connectivity projects in Migori
20,Makueni County government intends to provide reliable and affordable energy to residents
20,Tenwek Hospital expands cardiovascular services with new cutting-edge facility
20,Koskei urges African Schools of Government to unite in training
20,13 million Kenyans enrol in new Social Health Authority
20,"Farmers to benefit from Sh3,500 maize price as state builds strategic reserve"
20,State to establish 450 feedlots to address feed shortage in ASAL counties
20,Primary school teachers urged to embrace digital innovation for quality education
20,Government unveils ambitious development programme for counties of northen Kenya
20,Kenya’s leather output to increase with Ewaso Ngiro tannery expansion
20,State to spend Sh1.2 billion to upgrade seven informal settlements in Kilifi
20,"CS Public Service assess service delivery at Huduma Centre, Homabay County"
20,"CS Public Service and Human Capital Development Hon. Justin B. Muturi continued with his extensive working tour of the lake region with a pivotal visit to the Homa Bay Huduma Centre, Homabay County where he conducted an in-depth assessment of service delivery standards. This high-profile stop marked the final leg of his tour, underscoring the government's commitment to ensuring that essential public services reach every corner of the country."
20,Public Participation Exercise on the Public Service HRM&D bill held in Mombasa County.
20,"Public Participation Exercise on the Public Service HRM&D bill has taken place today in Mombasa County. During the exercise matters pertaining to recruitment, training, promotion and discipline of public servants dominated the national dialogue currently taking place on the Public Service Human Resource Management and Development Bill, 2024 and the Training Revolving Fund Regulations, 2024.

The bill seeks to provide an over-arching framework to enhance human resource management and development in the country. During the exercise, participants drawn from the counties of Mombasa, Kwale, Taita Taveta, Kilifi, Lamu & Tana River Counties converged at the Mombasa Regional Headquarters, Mombasa County, where they gave their submissions on the bill & and regulations for consideration."
20,Youthful Voices Shaping the Future of Public Service
20,"Youthful Voices Shaping the Future of Public Service

The State Department for Public Service and Human Capital Development led by PS Dr Jane Kere on Friday 29th August, 2025 held a vibrant fireside chat with young professionals drawn from across Government Ministries and Departments under the theme “Youthful Voices for a Futuristic Public Service.”"
20,COURTESY CALL TO FOSTER COLLABORATION IN PUBLIC SERVICE
20,"This morning, the Principal Secretary for State Department for Public Service and Human Capital Development, Dr. Jane Kere Imbunya, paid a courtesy call to her counterpart, Principal Secretary for Correctional Services, Dr. Salome Muhia-Beacco, at her TelPosta Towers office.

The two leaders held a productive discussion focused on strengthening collaboration and exploring strategic partnerships between their respective State Departments. Their dialogue emphasized the importance of inter-agency cooperation in enhancing efficiency, service delivery, and the overall transformation of Kenya’s public service."
20,CEMASTEA nurtures STEM talents with practical innovation projects at boot camp
20,State to issue title deeds to residents in 11 informal settlements in Kirinyaga County
20,"Government Press is a Department under the Executive Office of the President as per the Executive Order No. 1 of 2023. Government Press is the Government’s primary centralized resource for producing, procuring, authenticating, cataloging, disseminating, and preserving the official information products of the Kenya Government

The Government Press is mandated to print and publish Government documents, e.g. Acts of Parliament, Reports, Accountable documents etc. Our publications are available at our bookshop along Haile Selassie Avenue Nairobi. We are the official publishers of the Kenya Gazette and its supplements;"
20,Ministry set to roll-out multi-billion Kenya Jobs and Economic Transformation Project
20,Why cultural festivals are key to Kenya’s tourism future
20,Nyatiti masters pass on their craft to next generation to preserve vibrant Luo culture
20,New pyrethrum law sparks optimism among growers
20,"County Government distributes free seeds to over 35,000 farmers"
20,"Sh34bn programme to transform agriculture and natural resource management, says PS"
20,National Statistical System (NSS) Bulletin January-June 2021
20,"The Principal Secretary for the State Department for Public Service and Human Capital Development, Dr Jane Kere Imbunya, on Wednesday Morning chaired the department’s first senior management meeting this year at Harambee House.

During the meeting, Dr Imbunya commended the department for the progress achieved in delivering its mandate over the 2025 calendar year and the first half of the 2025/2026 Financial Year."
20,"DOUGLAS NAMUNANE -PCO

At least 13 million Kenyans had enrolled in the new Social Health Authority (SHA) as of October 31, 2024."
20,"BY JUDY SHERI (PCO)

The Ministry of Health is implementing an Integrated Healthcare Information Technology Management System (IHTS) to make healthcare affordable and accessible to all Kenyans."
20,"PRINCIPAL SECRETARY JOINS FIRST LADY IN KAREN COMPRESSIVE SCHOOL, WHERE SHE DISTRIBUTED HUNDREDS OF SHOES TO LEARNERS."
20,"PRINCIPAL SECRETARY JOINS FIRST LADY IN KAREN COMPRESSIVE SCHOOL, WHERE SHE DISTRIBUTED HUNDREDS OF SHOES TO LEARNERS.

The Principal Secretary for Basic Education,John Ololtuaa today accompany,First Lady Her Excellence Mama Rachel Rutto, during a courtesy Visit to Karen Comprehensive School in Langata Constituency."
20,"The Directorate is headed by a Director General, reporting to the Cabinet Secretary. The main objectives of the Directorate is to:-

The Directorate is organized into three (3) Technical Departments, each headed by a Director. They include:"
20,"They are secure, medium to long-term investment that typically offer interest payments every six months throughout the bond’s maturity. The are issued on a monthly basis with tenors of 2, 5, 10, 15, 20 and 25 years. In addition, the Government occasionally issues tax-exempt infrastructure bonds which are very attractive in terms of investment. Individuals and corporate bodies can invest in Treasury bonds as a nominee of a commercial bank or investment bank, or if one holds a bank account with a local commercial bank, they can also invest directly through the Central Bank."
20,"Kenya, UK and Finland Deepen Cooperation on Peace Mediation"
20,"Kenya, together with the United Kingdom and Finland, convened the Kenya–UK–Finland Tripartite Mediation Workshop in Nairobi from 4–5 March 2026, bringing together senior officials, mediation experts and peace practitioners to strengthen cooperation in peacebuilding and conflict resolution.

Opening the workshop, Dr. Korir Sing’Oei, Principal Secretary for Foreign Affairs, underscored the urgency of revitalising dialogue-led approaches amid a marked rise in conflicts globally and their humanitarian and economic costs. He noted the strain on international norms and institutions and called for stronger, more inclusive mediation frameworks and deeper partnerships, further indicating that Kenya, in collaboration with partners, is developing a proposed “Peace Treaty” to strengthen international mediation standards for internal conflicts."
20,Stakeholders push for affordable energy to drive industrial competitiveness
20,"Industry leaders, policymakers, development partners, and private sector representatives have called for closer alignment between Kenya’s energy and manufacturing sectors, stressing that affordable, reliable, and predictable energy is vital to accelerating industrial growth and competitiveness.

Speaking at the Kenya National Industrialization Partners Convening in Nairobi, Industrialization Secretary Prof. Erastus Gatebe underscored the need for policies backed by resilient implementation frameworks to drive sustainable industrialization."
20,PS DR IMBUNYA HOSTS KENYA'S HIGH COMMISSIONER TO AUSTRALIA AMB. DR KOGO
20,"The Principal Secretary for Public Service and Human Capital Development, Dr Jane Kere Imbunya, hosted Amb. Dr Wilson K. Kogo, Kenya’s High Commissioner to Australia, during a courtesy call at her office on Friday 27th March, 2026.

The engagement provided a valuable platform to explore strategic areas of collaboration between the State Department and the Kenyan High Commission in Australia, with a strong focus on unlocking employment opportunities for Kenyan youth."
20,"The Government has commenced the recruitment of over 20,000 skilled and unskilled Kenyans for the national overseas program.

The Cabinet Secretary (CS) for Labour and Social Protection, Dr. Alfred Mutua, stated that the program, which was officially launched last week at the Machakos Technical Institute for the Blind, is expected to cover all counties, starting with Machakos, followed by Makueni, Kitui, Nakuru, Baringo, Nyandarua, Kakamega, Bungoma, Vihiga, Busia, Turkana, Marsabit, among others, by the end of the year."
20,PS IMBUNYA PAYS A COURTESY CALL TO THE NEWLY APPOINTED PSC CHAIRPERSON
20,"PS IMBUNYA PAYS A COURTESY CALL TO THE NEWLY APPOINTED PSC CHAIRPERSON

This morning, Public Service and Human Capital Development Principal Secretary Dr. Jane Kere Imbunya paid a courtesy call to the newly appointed Chairperson of the Public Service Commission, Mr. Francis Meja."
20,Homa Bay gets boost as Kabunde runway upgraded
20,"The renovated 1.3-kilometre runway at Kabunde Airstrip has officially been opened, marking a major step forward in improving air connectivity for Homa Bay and neighbouring counties.

Speaking during the launch, Renegade Air’s Sales and Marketing In-charge, Patrick Oketch, called on residents to support the airline’s operations to enable an increase in flight frequencies."
20,Kenya leather industry poised for major growth under Italy–Kenya collaboration
20,"The Kenya leather indus try is poised for major transformation after the Association of Italian Manufac turers (ASSOMAC) and the Kenya Leather Development Council (KLDC) entered into a new part nership aimed at strengthening the value chain.

The deal, announced during a visit to the Kenanie Leather Industrial Park (KLIP), is expected to inject world-class technology, machinery and expertise into Kenya’s leather sector, posi tioning the country as a regional hub for leather processing and manufacturing."
20,Kirinyaga farmers reap big from county’s major irrigation projects
20,"MUTAI KIPNGETICH- KNA

Farmers in Kirinyaga are reaping big benefits from irrigation pro jects initiated by the County Government of Kirinyaga."
20,Benard Kemboi’s battle with addiction and his mission to inspire change in society
20,"MAUREEN CHESANG AND CHRIS TOPHER KIPROP

Benard Kemboi has overcome sub stance addiction, emerged victorious, and now intends to use his experience to motivate others to avoid the habit that nearly cost him his life."
20,Kenya seeks to double pig industry output by 2030 in growth drive
20,"Kenya has intensified efforts to transform the pig value chain, projecting 125 per cent growth by 2030 as the government moves to address production gaps, including high feed costs, weak market systems, and other structural challenges affecting the livestock sector.

Speaking during the National Stakeholders’ Sensitization Forum on the Pig Value Chain, the Principal Secretary for Livestock Development, Jonathan Mueke, said the sector presents a major opportunity for investment and growth in the country’s agricultural economy."
20,"SADIK HASSAN-KNA

Primary school teachers have been urged to embrace digital innovation to ensure that learners receive quality education regardless of their backgrounds."
20,Gov’t rolls out major restoration plan for degraded lands in Kenya
20,"The Government has drafted a strategy to restore 62,038 hectares of highly degraded escarpments and riparian land, protect 20 springs and secure water towers, while creating 500,000 green jobs for youth in beekeeping, agroforestry and ecotourism.

Interior and National Administration Cabinet Secretary (CS), Kipchumba Murkomen, said the Cherangany Hills ecosystem is one of Kenya’s five critical water towers."
20,"Infrastructure, equipment upgrades bolster Kenya’s Ports performance"
20,"SADIK HASSAN AND MARIAM SEFU- KNA

The Port of Mombasa recorded a remarkable increase in cargo throughput from January to September 2024, handling a total of 29.92 million tons compared to 26.68 million tons registered during the same period in 2023."
20,State unveils initiative to boost social welfare for informal sector workers
20,"IAN CHEPKUTO AND SHARON ATIENO-KNA

The Government is committed to improving the social welfare of all workers in the informal sector, Cabinet Secretary for Labour and Social Protection Dr. Alfred Mutua has said."
20,DP calls for increased digital investment across the continent
20,"Deputy President Prof. Kithure Kindiki has called on African countries to scale up investment in digital transformation to keep pace with developed nations, which have positioned it at the core of their progress.

The DP said Kenya is investing heavily in the sector to enhance governance and improve delivery of services as it targets making the digital sector more productive and profitable."
20,Kasera’s journey from classroom to workshop delivers energy-saving cookers to locals
